product_group_id,group_name,group_description,group_category,group_parent_id,group_creation_date,group_updated_date,group_status,group_manager,group_location,Column1,_1
1,Electronics,All electronic devices and accessories,Electronics,,2022-01-01,2022-01-01,Active,John Doe,Headquarters,,
3,TVs,Televisions and home entertainment,Electronics,1,2022-01-01,2022-01-01,Active,Mark Johnson,Headquarters,,
5,Tablets,Tablet devices and accessories,Electronics,1,2022-01-01,2022-01-01,Active,Michael Brown,Headquarters,,
8,Storage,External hard drives and storage solutions,Electronics,1,2022-01-01,2022-01-01,Active,Michelle Lee,Headquarters,,
9,Smart Home,Smart home devices and automation systems,Electronics,1,2022-01-01,2022-01-01,Active,Ryan Thompson,Headquarters,,
11,Networking,Networking equipment and accessories,Electronics,1,2022-01-01,2022-01-01,Active,Megan Davis,Headquarters,,
12,Monitors,Computer monitors and displays,Electronics,1,2022-01-01,2022-01-01,Active,Andrew Wilson,Headquarters,,
15,Car Audio,Car audio systems and accessories,Electronics,4,2022-01-01,2022-01-01,Active,Karen Davis,Headquarters,,
16,Projectors,Projectors and projection accessories,Electronics,1,2022-01-01,2022-01-01,Active,Robert Johnson,Headquarters,,
17,Charging Solutions,Wireless chargers and charging accessories,Electronics,1,2022-01-01,2022-01-01,Active,Olivia Wilson,Headquarters,,
19,Smart Security,Home security systems and surveillance devices,Electronics,9,2022-01-01,2022-01-01,Active,Emma Davis,Headquarters,,
20,Computer Peripherals,Computer peripherals and accessories,Electronics,2,2022-01-01,2022-01-01,Active,Liam Johnson,Headquarters,,
21,Home Appliances,Household appliances and accessories,Electronics,,2022-01-01,2022-01-01,Active,John Doe,Headquarters,,
22,Kitchen Appliances,Kitchen appliances and cooking accessories,Home Appliances,21,2022-01-01,2022-01-01,Active,Jane Smith,Headquarters,,
23,Refrigerators,Refrigerators and freezers,Home Appliances,22,2022-01-01,2022-01-01,Active,Mark Johnson,Headquarters,,
24,Washing Machines,Washing machines and laundry accessories,Home Appliances,22,2022-01-01,2022-01-01,Active,Sarah Davis,Headquarters,,
25,Dishwashers,Dishwashers and dishwasher accessories,Home Appliances,22,2022-01-01,2022-01-01,Active,Michael Brown,Headquarters,,
26,Vacuum Cleaners,Vacuum cleaners and cleaning accessories,Home Appliances,21,2022-01-01,2022-01-01,Active,Emily Wilson,Headquarters,,
27,Air Conditioners,Air conditioners and cooling solutions,Home Appliances,21,2022-01-01,2022-01-01,Active,David Wilson,Headquarters,,
28,Heating Systems,Heaters and heating solutions,Home Appliances,21,2022-01-01,2022-01-01,Active,Michelle Lee,Headquarters,,
29,Small Appliances,Small kitchen appliances and gadgets,Home Appliances,22,2022-01-01,2022-01-01,Active,Ryan Thompson,Headquarters,,
30,Personal Care,Personal care and grooming products,Home Appliances,21,2022-01-01,2022-01-01,Active,Chris Johnson,Headquarters,,
31,Furniture,Home furniture and decor,Home Appliances,,2022-01-01,2022-01-01,Active,Megan Davis,Headquarters,,
32,Bedroom Furniture,Bedroom furniture and accessories,Furniture,31,2022-01-01,2022-01-01,Active,Andrew Wilson,Headquarters,,
33,Living Room Furniture,Living room furniture and accessories,Furniture,31,2022-01-01,2022-01-01,Active,Julia Thompson,Headquarters,,
34,Dining Room Furniture,Dining room furniture and accessories,Furniture,31,2022-01-01,2022-01-01,Active,Steven Brown,Headquarters,,
35,Office Furniture,Office furniture and accessories,Furniture,31,2022-01-01,2022-01-01,Active,Karen Davis,Headquarters,,
36,Outdoor Furniture,Outdoor furniture and accessories,Furniture,31,2022-01-01,2022-01-01,Active,Robert Johnson,Headquarters,,
37,Bathroom Furniture,Bathroom furniture and accessories,Furniture,31,2022-01-01,2022-01-01,Active,Olivia Wilson,Headquarters,,
38,Lighting,Indoor and outdoor lighting solutions,Furniture,31,2022-01-01,2022-01-01,Active,Alexander Thompson,Headquarters,,
39,Home Decor,Home decor and decorative accessories,Furniture,31,2022-01-01,2022-01-01,Active,Emma Davis,Headquarters,,
40,Storage and Organization,Storage solutions and organization products,Furniture,31,2022-01-01,2022-01-01,Active,Liam Johnson,Headquarters,,
41,Books,Books and literature,Media,,2022-01-01,2022-01-01,Active,John Doe,Headquarters,,
42,Fiction,Fiction books,Books,41,2022-01-01,2022-01-01,Active,Jane Smith,Headquarters,,
43,Non-Fiction,Non-fiction books,Books,41,2022-01-01,2022-01-01,Active,Mark Johnson,Headquarters,,
44,Children's Books,Books for children and young readers,Books,41,2022-01-01,2022-01-01,Active,Sarah Davis,Headquarters,,
45,Self-Help,Self-help and personal development books,Books,41,2022-01-01,2022-01-01,Active,Michael Brown,Headquarters,,
46,Science Fiction,Science fiction books and novels,Books,42,2022-01-01,2022-01-01,Active,Emily Wilson,Headquarters,,
47,Mystery,Books in the mystery and detective genre,Books,42,2022-01-01,2022-01-01,Active,David Wilson,Headquarters,,
48,Romance,Romance novels and love stories,Books,42,2022-01-01,2022-01-01,Active,Michelle Lee,Headquarters,,
49,Biography,Memoirs and biographies,Books,43,2022-01-01,2022-01-01,Active,Ryan Thompson,Headquarters,,
50,History,Books on historical events and periods,Books,43,2022-01-01,2022-01-01,Active,Chris Johnson,Headquarters,,
51,Science,Science books and popular science,Books,43,2022-01-01,2022-01-01,Active,Megan Davis,Headquarters,,
52,Art,Books on art and art history,Books,43,2022-01-01,2022-01-01,Active,Andrew Wilson,Headquarters,,
53,Music,Books on music theory and musicians,Books,43,2022-01-01,2022-01-01,Active,Julia Thompson,Headquarters,,
54,Travel,Travel guides and travel literature,Books,43,2022-01-01,2022-01-01,Active,Steven Brown,Headquarters,,
55,Cooking,Cookbooks and culinary guides,Books,43,2022-01-01,2022-01-01,Active,Karen Davis,Headquarters,,
56,Health and Wellness,Books on health and wellness topics,Books,43,2022-01-01,2022-01-01,Active,Robert Johnson,Headquarters,,
57,Education,Books on education and teaching,Books,43,2022-01-01,2022-01-01,Active,Olivia Wilson,Headquarters,,
58,Religion,Books on religious beliefs and practices,Books,43,2022-01-01,2022-01-01,Active,Alexander Thompson,Headquarters,,
59,Technology,Books on technology and computing,Books,43,2022-01-01,2022-01-01,Active,Emma Davis,Headquarters,,
60,Comics and Graphic Novels,Comic books and graphic novels,Books,42,2022-01-01,2022-01-01,Active,Liam Johnson,Headquarters,,
61,Electronics,Electronics and gadgets,Technology,,2022-01-01,2022-01-01,Active,John Doe,Headquarters,,
62,Computers,Computers and accessories,Electronics,61,2022-01-01,2022-01-01,Active,Jane Smith,Headquarters,,
63,Laptops,Laptops and notebook computers,Computers,62,2022-01-01,2022-01-01,Active,Mark Johnson,Headquarters,,
64,Desktops,Desktop computers and towers,Computers,62,2022-01-01,2022-01-01,Active,Sarah Davis,Headquarters,,
65,Tablets,Tablet computers and e-readers,Computers,62,2022-01-01,2022-01-01,Active,Michael Brown,Headquarters,,
66,Computer Components,Computer hardware and components,Computers,62,2022-01-01,2022-01-01,Active,Emily Wilson,Headquarters,,
67,Printers,Printers and printing supplies,Electronics,61,2022-01-01,2022-01-01,Active,David Wilson,Headquarters,,
68,Monitors,Computer monitors and displays,Electronics,61,2022-01-01,2022-01-01,Active,Michelle Lee,Headquarters,,
69,Audio,Audio equipment and accessories,Electronics,61,2022-01-01,2022-01-01,Active,Ryan Thompson,Headquarters,,
70,Headphones,Headphones and earphones,Audio,69,2022-01-01,2022-01-01,Active,Chris Johnson,Headquarters,,
71,Speakers,Speakers and sound systems,Audio,69,2022-01-01,2022-01-01,Active,Megan Davis,Headquarters,,
72,Home Theater Systems,Home theater systems and components,Audio,69,2022-01-01,2022-01-01,Active,Andrew Wilson,Headquarters,,
73,Televisions,Televisions and smart TVs,Electronics,61,2022-01-01,2022-01-01,Active,Julia Thompson,Headquarters,,
74,Cameras,Cameras and photography equipment,Electronics,61,2022-01-01,2022-01-01,Active,Steven Brown,Headquarters,,
75,Smartphones,Smartphones and mobile devices,Electronics,61,2022-01-01,2022-01-01,Active,Karen Davis,Headquarters,,
76,Video Games,Video games and gaming consoles,Electronics,61,2022-01-01,2022-01-01,Active,Robert Johnson,Headquarters,,
77,Accessories,Electronics accessories and peripherals,Electronics,61,2022-01-01,2022-01-01,Active,Olivia Wilson,Headquarters,,
78,Networking,Networking equipment and accessories,Electronics,61,2022-01-01,2022-01-01,Active,Alexander Thompson,Headquarters,,
79,Smart Home,Smart home devices and automation,Electronics,61,2022-01-01,2022-01-01,Active,Emma Davis,Headquarters,,
80,Virtual Reality,Virtual reality devices and accessories,Electronics,61,2022-01-01,2022-01-01,Active,Liam Johnson,Headquarters,,
81,Clothing,Clothing and apparel,Fashion,,2022-01-01,2022-01-01,Active,John Doe,Headquarters,,
82,Men's Clothing,Men's apparel,Clothing,81,2022-01-01,2022-01-01,Active,Jane Smith,Headquarters,,
83,Shirts,Shirts for men,Men's Clothing,82,2022-01-01,2022-01-01,Active,Mark Johnson,Headquarters,,
84,Pants,Pants and trousers for men,Men's Clothing,82,2022-01-01,2022-01-01,Active,Sarah Davis,Headquarters,,
85,Jeans,Denim jeans for men,Pants,84,2022-01-01,2022-01-01,Active,Michael Brown,Headquarters,,
86,T-shirts,T-shirts for men,Shirts,83,2022-01-01,2022-01-01,Active,Emily Wilson,Headquarters,,
87,Polo Shirts,Polo shirts for men,Shirts,83,2022-01-01,2022-01-01,Active,David Wilson,Headquarters,,
88,Dress Shirts,Dress shirts for men,Shirts,83,2022-01-01,2022-01-01,Active,Michelle Lee,Headquarters,,
89,Jackets,Jackets and outerwear for men,Men's Clothing,82,2022-01-01,2022-01-01,Active,Ryan Thompson,Headquarters,,
90,Sweaters,Sweaters and knitwear for men,Men's Clothing,82,2022-01-01,2022-01-01,Active,Chris Johnson,Headquarters,,
91,Women's Clothing,Women's apparel,Clothing,81,2022-01-01,2022-01-01,Active,Megan Davis,Headquarters,,
92,Dresses,Dresses for women,Women's Clothing,91,2022-01-01,2022-01-01,Active,Andrew Wilson,Headquarters,,
93,Tops,Tops and blouses for women,Women's Clothing,91,2022-01-01,2022-01-01,Active,Julia Thompson,Headquarters,,
94,Skirts,Skirts for women,Women's Clothing,91,2022-01-01,2022-01-01,Active,Steven Brown,Headquarters,,
95,Jeans,Denim jeans for women,Pants,94,2022-01-01,2022-01-01,Active,Karen Davis,Headquarters,,
96,Leggings,Leggings for women,Pants,94,2022-01-01,2022-01-01,Active,Robert Johnson,Headquarters,,
97,Outerwear,Outerwear for women,Women's Clothing,91,2022-01-01,2022-01-01,Active,Olivia Wilson,Headquarters,,
98,Activewear,Activewear for women,Women's Clothing,91,2022-01-01,2022-01-01,Active,Alexander Thompson,Headquarters,,
99,Accessories,Fashion accessories,Accessories,81,2022-01-01,2022-01-01,Active,Emma Davis,Headquarters,,
100,Shoes,Shoes for men and women,Footwear,81,2022-01-01,2022-01-01,Active,Liam Johnson,Headquarters,,
2,Computers,Laptops, desktops, and accessories,Electronics,1,2022-01-01,2022-01-01,Active,Jane Smith,Headquarters
4,Audio,Speakers, headphones, and audio accessories,Electronics,1,2022-01-01,2022-01-01,Active,Sarah Davis,Headquarters
6,Wearables,Smartwatches, fitness trackers, and wearable devices,Electronics,1,2022-01-01,2022-01-01,Active,Emily Wilson,Headquarters
7,Cameras,Cameras, lenses, and photography accessories,Electronics,1,2022-01-01,2022-01-01,Active,David Wilson,Headquarters
10,Gaming,Gaming consoles, accessories, and video games,Electronics,1,2022-01-01,2022-01-01,Active,Chris Johnson,Headquarters
13,Printers,Printers, scanners, and printer accessories,Electronics,1,2022-01-01,2022-01-01,Active,Julia Thompson,Headquarters
14,Computer Accessories,Keyboards, mice, and computer accessories,Electronics,2,2022-01-01,2022-01-01,Active,Steven Brown,Headquarters
18,Health and Fitness,Fitness trackers, smart scales, and health devices,Electronics,6,2022-01-01,2022-01-01,Active,Alexander Thompson,Headquarters
168,308,268,15-Nov-24,1,80,0,Cash,Delivered,No,,
169,309,269,16-Nov-24,3,150,0,Credit Card,In Transit,No,,
171,311,271,18-Nov-24,2,120,0,PayPal,Delivered,No,,
172,312,272,19-Nov-24,1,60,0,Credit Card,Delivered,No,,
174,314,274,21-Nov-24,2,100,0,Cash,In Transit,Yes,,
176,316,276,23-Nov-24,4,200,0,Credit Card,Delivered,No,,
178,318,278,25-Nov-24,1,90,0,PayPal,Delivered,No,,
179,319,279,26-Nov-24,3,180,0,PayPal,In Transit,No,,
181,321,281,28-Nov-24,2,100,0,Credit Card,Delivered,No,,
184,324,284,1-Dec-24,2,120,0,PayPal,In Transit,Yes,,
185,325,285,2-Dec-24,1,60,0,Cash,Delivered,No,,
187,327,287,4-Dec-24,2,100,0,PayPal,Delivered,No,,
188,328,288,5-Dec-24,1,80,0,Cash,Delivered,No,,
189,329,289,6-Dec-24,3,150,0,Credit Card,In Transit,No,,
191,331,291,8-Dec-24,2,120,0,PayPal,Delivered,No,,
192,332,292,9-Dec-24,1,60,0,Credit Card,Delivered,No,,
194,334,294,11-Dec-24,2,100,0,Cash,In Transit,Yes,,
196,336,296,13-Dec-24,4,200,0,Credit Card,Delivered,No,,
198,338,298,15-Dec-24,1,90,0,PayPal,Delivered,No,,
199,339,299,16-Dec-24,3,180,0,PayPal,In Transit,No,,
3,163,103,3-Jun-24,3,300,15,Cash,Delivered,No,,
5,165,105,5-Jun-24,1,50,5,Credit Card,Delivered,Yes,,
6,166,106,6-Jun-24,4,200,20,Cash,Delivered,No,,
10,170,110,10-Jun-24,1,100,10,Cash,Delivered,No,,
13,173,113,13-Jun-24,3,180,9,PayPal,Delivered,No,,
15,175,115,15-Jun-24,1,70,7,Credit Card,Delivered,No,,
17,177,117,17-Jun-24,2,120,12,Cash,Delivered,No,,
20,180,120,20-Jun-24,1,110,11,Credit Card,Delivered,No,,
22,182,122,22-Jun-24,1,50,5,Cash,Delivered,No,,
23,183,123,23-Jun-24,3,180,9,Credit Card,Delivered,No,,
26,186,126,26-Jun-24,4,200,20,Credit Card,Delivered,No,,
30,190,130,30-Jun-24,1,100,10,Cash,Delivered,No,,
33,193,133,3-Jul-24,3,180,9,PayPal,Delivered,No,,
35,195,135,5-Jul-24,1,70,7,Credit Card,Delivered,No,,
37,197,137,7-Jul-24,2,120,12,Cash,Delivered,No,,
40,200,140,10-Jul-24,1,110,11,Credit Card,Delivered,No,,
42,182,142,12-Jul-24,1,50,5,Cash,Delivered,No,,
43,183,143,13-Jul-24,3,180,9,Credit Card,Delivered,No,,
46,186,146,16-Jul-24,4,200,20,Credit Card,Delivered,No,,
50,190,150,20-Jul-24,1,100,10,Cash,Delivered,No,,
53,193,153,23-Jul-24,3,180,9,PayPal,Delivered,No,,
55,195,155,25-Jul-24,1,70,7,Credit Card,Delivered,No,,
57,197,157,27-Jul-24,2,120,12,Cash,Delivered,No,,
60,200,160,30-Jul-24,1,110,11,Credit Card,Delivered,No,,
62,202,162,1-Aug-24,1,50,5,Cash,Delivered,No,,
63,203,163,2-Aug-24,3,180,9,Credit Card,Delivered,No,,
66,206,166,5-Aug-24,4,200,20,Credit Card,Delivered,No,,
70,210,170,9-Aug-24,1,100,10,Cash,Delivered,No,,
73,213,173,12-Aug-24,3,180,9,PayPal,Delivered,No,,
75,215,175,14-Aug-24,1,70,7,Credit Card,Delivered,No,,
77,217,177,16-Aug-24,2,120,12,Cash,Delivered,No,,
80,220,180,19-Aug-24,1,110,11,Credit Card,Delivered,No,,
82,222,182,21-Aug-24,1,50,5,Cash,Delivered,No,,
83,223,183,22-Aug-24,3,180,9,Credit Card,Delivered,No,,
86,226,186,25-Aug-24,4,200,20,Credit Card,Delivered,No,,
90,230,190,29-Aug-24,1,100,10,Cash,Delivered,No,,
93,233,193,1-Sep-24,3,180,9,PayPal,Delivered,No,,
95,235,195,3-Sep-24,1,70,7,Credit Card,Delivered,No,,
97,237,197,5-Sep-24,2,120,12,Cash,Delivered,No,,
100,240,200,8-Sep-24,1,110,11,Credit Card,Delivered,No,,
102,242,202,10-Sep-24,1,50,5,Cash,Delivered,No,,
103,243,203,11-Sep-24,3,180,9,Credit Card,Delivered,No,,
106,246,206,14-Sep-24,4,200,20,Credit Card,Delivered,No,,
110,250,210,18-Sep-24,1,100,10,Cash,Delivered,No,,
113,253,213,21-Sep-24,3,180,9,PayPal,Delivered,No,,
115,255,215,23-Sep-24,1,70,7,Credit Card,Delivered,No,,
117,257,217,25-Sep-24,2,120,12,Cash,Delivered,No,,
120,260,220,28-Sep-24,1,110,11,Credit Card,Delivered,No,,
122,262,222,30-Sep-24,1,50,5,Cash,Delivered,No,,
123,263,223,1-Oct-24,3,180,9,Credit Card,Delivered,No,,
126,266,226,4-Oct-24,4,200,20,Credit Card,Delivered,No,,
130,270,230,8-Oct-24,1,100,10,Cash,Delivered,No,,
133,273,233,11-Oct-24,3,180,9,PayPal,Delivered,No,,
135,275,235,13-Oct-24,1,70,7,Credit Card,Delivered,No,,
137,277,237,15-Oct-24,2,120,12,Cash,Delivered,No,,
140,280,240,18-Oct-24,1,110,11,Credit Card,Delivered,No,,
142,282,242,20-Oct-24,1,50,5,Cash,Delivered,No,,
143,283,243,21-Oct-24,3,180,9,Credit Card,Delivered,No,,
146,286,246,24-Oct-24,4,200,20,Credit Card,Delivered,No,,
150,290,250,28-Oct-24,1,100,10,Cash,Delivered,No,,
153,293,253,31-Oct-24,3,180,9,PayPal,Delivered,No,,
155,295,255,2-Nov-24,1,70,7,Credit Card,Delivered,No,,
157,297,257,4-Nov-24,2,120,12,Cash,Delivered,No,,
160,300,260,7-Nov-24,1,110,11,Credit Card,Delivered,No,,
162,302,262,9-Nov-24,1,50,5,Cash,Delivered,No,,
163,303,263,10-Nov-24,3,180,9,Credit Card,Delivered,No,,
166,306,266,13-Nov-24,4,200,20,Credit Card,Delivered,No,,
170,310,270,17-Nov-24,1,100,10,Cash,Delivered,No,,
173,313,273,20-Nov-24,3,180,9,PayPal,Delivered,No,,
175,315,275,22-Nov-24,1,70,7,Credit Card,Delivered,No,,
177,317,277,24-Nov-24,2,120,12,Cash,Delivered,No,,
180,320,280,27-Nov-24,1,110,11,Credit Card,Delivered,No,,
182,322,282,29-Nov-24,1,50,5,Cash,Delivered,No,,
183,323,283,30-Nov-24,3,180,9,Credit Card,Delivered,No,,
186,326,286,3-Dec-24,4,200,20,Credit Card,Delivered,No,,
190,330,290,7-Dec-24,1,100,10,Cash,Delivered,No,,
193,333,293,10-Dec-24,3,180,9,PayPal,Delivered,No,,
195,335,295,12-Dec-24,1,70,7,Credit Card,Delivered,No,,
197,337,297,14-Dec-24,2,120,12,Cash,Delivered,No,,
200,340,300,17-Dec-24,1,110,11,Credit Card,Delivered,No,,
